,0
358,ted minum kencing babi makan haram rela narasi terima akal sehat🤦🤦🤦luar perjuangan mu menjegal anieskau manusia binatang sihtidak beda kau binatang ini👇👇
359,pernyataan sdh unsur fitnah pantau relawan gini suara anis terjun bebas bawa kasihan citra polri klo relawan kek gini bina ahklak
360,bacalon woy
361,nitizen bilang buzzerp warga net bilang bayar elu ayo bayar buzzerp jokowi sejahat otak buzzer jahat halu
362,dicari sianis
363,perpaduan olibekas oligarki
364,sebatas wilayah desa dihancurkan desa indonesia
365,bacot muji pulak 🤣 ted elu mah mahasiswa do kagak halusinasi
366,daerah lo ga pembangunan lo desa ga dana desa bangun desa lo aparat desa lo lo desa lo tinggal
367,ah benerrrr ntar boong lagi🤣
368,gk jdi dukung anis karna terbodoh google gk org pinter ngomong tpi nol berkuasa
369,politik identitas maaf suka
370,allah swt mempermalukan ngaku amanah menjabat rakyat dki dipikirkannya
371,prestasi amies berhasil menipu pendukungnya fakir mikir ente
372,bilang ama junjunganmukalau tdk menari lapor polisigoblok li
373,tanda tanda kegagalan
374,pemerintahan udah bolak cianjur mastiin tertangani bro kalo gw ga tau deh udah cianjur sih belom
375,jiji gw baca wkwkwk
376,ngaku ngaku bener kayak
377,pro anti komen smp segitunya masyarakat buzzer
378,aceh mengharuskan udah lebay kayak gini
